Variant i;Variant j;Total Time;Summarization Time;Mapping Time;Number of Events;Average Number of Application;Average Number of Offer;Largest Type Object Set;Cost;Lane Optionality;n;;;1;2;3;4;5
6;7;0.0822381;0.0447427;0.0374954;19;1;1;1;3;0;2;;;;;;;
6;8;0.2622707;0.2403964;0.0218743;23;1;1;1;9;0;2;;;;;;;
6;9;0.0238663;0.0167429;0.0071234;15;1;1;1;6;0;2;;;;;;;
7;8;0.968985;0.351641;0.617344;24;1;1;1;9;0;2;;;;;;;
7;9;0.02692;0.0209119;0.0060081;16;1;1;1;6;0;2;;;;;;;
8;9;0.1047339;0.0757902;0.0289437;20;1;1;1;14;0;2;;;;;;;
0;1;2.9673952;0.0507151;2.9166801;38;1;1.5;2;3;1;4;;;;;;;
0;2;0.9562371;0.0511521;0.905085;39;1;1.5;2;4;1;4;;;;;;;
0;3;6.9135815;0.1028697;6.8107118;41;1;1.5;2;5;1;4;;;;;;;
0;4;0.6112836;0.0358417;0.5754419;35;1;1;1;0;0;4;;;;;;;
0;5;10.5088229;0.0522349;10.456588;40;1;1.5;2;4;1;4;;;;;;;
0;6;1.8560822;0.14919;1.7068922;40;1;1.5;2;5;1;4;;;;;;;
0;7;15.8245875;0.1027924;15.7217951;39;1;1.5;2;3;1;4;;;;;;;
0;8;8.1077068;0.1033072;8.0043996;41;1;1.5;2;5;1;4;;;;;;;
0;9;2.9755253;0.0494242;2.9261011;39;1;1.5;2;3;1;4;;;;;;;
1;2;0.4418662;0.0777865;0.3640797;41;1;2;2;1;0;4;;;;;;;
1;3;22.3496863;0.1485537;22.2011326;43;1;2;2;12;0;4;;;;;;;
1;4;0.2746355;0.067462;0.2071735;37;1;1.5;2;3;1;4;;;;;;;
1;5;27.7359816;0.0696756;27.666306;42;1;2;2;1;0;4;;;;;;;
1;6;1.147139;0.4497156;0.6974234;42;1;2;2;12;0;4;;;;;;;
1;7;40.4460607;0.178933;40.2671277;41;1;2;2;6;0;4;;;;;;;
1;8;26.2141242;0.1513516;26.0627726;43;1;2;2;12;0;4;;;;;;;
1;9;4.0489038;0.0516485;3.9972553;41;1;2;2;0;0;4;;;;;;;
2;3;8.5583123;0.1017588;8.4565535;44;1;2;2;9;0;4;;;;;;;
2;4;0.1061599;0.0427361;0.0634238;38;1;1.5;2;4;1;4;;;;;;;
2;5;10.0527147;0.0552257;9.997489;43;1;2;2;0;0;4;;;;;;;
2;6;0.2371521;0.1114096;0.1257425;43;1;2;2;9;0;4;;;;;;;
2;7;18.5772347;0.0977218;18.4795129;42;1;2;2;7;0;4;;;;;;;
2;8;10.1510562;0.1002411;10.0508151;44;1;2;2;9;0;4;;;;;;;
2;9;1.4877763;0.0531148;1.4346615;42;1;2;2;4;0;4;;;;;;;
3;4;6.4170098;0.0896205;6.3273893;40;1;1.5;2;5;1;4;;;;;;;
3;5;25.7243932;0.1143962;25.609997;45;1;2;2;9;0;4;;;;;;;
3;6;8.8719575;0.1265158;8.7454417;45;1;2;2;0;0;4;;;;;;;
3;7;26.9621545;0.1271069;26.8350476;44;1;2;2;4;0;4;;;;;;;
3;8;18.6448079;0.1345206;18.5102873;46;1;2;2;0;0;4;;;;;;;
3;9;15.7128493;0.1259828;15.5868665;44;1;2;2;15;0;4;;;;;;;
4;5;8.1733274;0.0552686;8.1180588;39;1;1.5;2;4;1;4;;;;;;;
4;6;0.1474093;0.1179703;0.029439;39;1;1.5;2;5;1;4;;;;;;;
4;7;14.4749853;0.0849862;14.3899991;38;1;1.5;2;3;1;4;;;;;;;
4;8;7.6875363;0.0907221;7.5968142;40;1;1.5;2;5;1;4;;;;;;;
4;9;1.1000443;0.0502504;1.0497939;38;1;1.5;2;6;1;4;;;;;;;
5;6;20.4030818;0.1610135;20.2420683;44;1;2;2;9;0;4;;;;;;;
5;7;39.5887725;0.1203772;39.4683953;43;1;2;2;7;0;4;;;;;;;
5;8;28.7290648;0.1230835;28.6059813;45;1;2;2;9;0;4;;;;;;;
5;9;24.1328645;0.0584424;24.0744221;43;1;2;2;4;0;4;;;;;;;
6;7;23.5812678;0.1325108;23.448757;43;1;2;2;4;0;4;;;;;;;
6;8;11.0332741;0.1333022;10.8999719;45;1;2;2;0;0;4;;;;;;;
6;9;3.2398515;0.1633724;3.0764791;43;1;2;2;15;0;4;;;;;;;
7;8;29.4661087;0.1286241;29.3374846;44;1;2;2;4;0;4;;;;;;;
7;9;26.1440193;0.124855;26.0191643;42;1;2;2;9;0;4;;;;;;;
8;9;17.6612774;0.1135637;17.5477137;44;1;2;2;15;0;4;;;;;;;
0;1;3.5884352;0.0973557;3.4910795;36;1;2;2;0;0;4;;;;;;;
0;2;13.8463526;0.0850074;13.7613452;37;1;1.5;2;4;1;4;;;;;;;
0;3;0.7960537;0.0900412;0.7060125;35;1;2;2;0;0;4;;;;;;;
0;4;0.538251;0.1445593;0.3936917;32;1;2;2;10;0;4;;;;;;;
0;5;2.5428209;0.0955654;2.4472555;33;1;2;2;3;0;4;;;;;;;
0;6;5.1780843;0.0974565;5.0806278;34;1;2;2;3;0;4;;;;;;;
0;7;0.875024;0.0938272;0.7811968;35;1;1.5;2;4;1;4;;;;;;;
0;8;0.3453423;0.0964358;0.2489065;34;1;2;2;2;0;4;;;;;;;
0;9;3.5805615;0.0861422;3.4944193;33;1;2;2;4;0;4;;;;;;;
1;2;25.6642082;0.0854063;25.5788019;39;1;1.5;2;4;1;4;;;;;;;
1;3;3.715941;0.0955433;3.6203977;37;1;2;2;0;0;4;;;;;;;
1;4;7.8132561;0.1496565;7.6635996;34;1;2;2;10;0;4;;;;;;;
1;5;2.4861572;0.0987526;2.3874046;35;1;2;2;3;0;4;;;;;;;
1;6;4.0051624;0.101778;3.9033844;36;1;2;2;3;0;4;;;;;;;
1;7;19.4375137;0.0938477;19.343666;37;1;1.5;2;4;1;4;;;;;;;
1;8;2.6207999;0.0989011;2.5218988;36;1;2;2;2;0;4;;;;;;;
1;9;3.5664122;0.0776627;3.4887495;35;1;2;2;4;0;4;;;;;;;
2;3;0.2700513;0.0809744;0.1890769;38;1;1.5;2;4;1;4;;;;;;;
2;4;0.4091964;0.168871;0.2403254;35;1;1.5;2;4;1;4;;;;;;;
2;5;9.7163147;0.0820844;9.6342303;36;1;1.5;2;2;1;4;;;;;;;
2;6;17.5867866;0.0826236;17.504163;37;1;1.5;2;2;1;4;;;;;;;
2;7;6.8475364;0.0816935;6.7658429;38;1;1;1;0;0;4;;;;;;;
2;8;0.5573272;0.0813168;0.4760104;37;1;1.5;2;3;1;4;;;;;;;
2;9;39.7075576;0.0995243;39.6080333;36;1;1.5;2;12;1;4;;;;;;;
3;4;0.3352883;0.1474963;0.187792;33;1;2;2;10;0;4;;;;;;;
3;5;2.7688274;0.0970728;2.6717546;34;1;2;2;3;0;4;;;;;;;
3;6;4.7758;0.0976545;4.6781455;35;1;2;2;3;0;4;;;;;;;
3;7;3.6213355;0.0882828;3.5330527;36;1;1.5;2;4;1;4;;;;;;;
3;8;0.1313569;0.0943558;0.0370011;35;1;2;2;2;0;4;;;;;;;
3;9;4.3863679;0.0839027;4.3024652;34;1;2;2;9;0;4;;;;;;;
4;5;3.757232;0.1825098;3.5747222;31;1;2;2;6;0;4;;;;;;;
4;6;10.9737025;0.1855045;10.788198;32;1;2;2;6;0;4;;;;;;;
