Variant i,Variant j,Total Time,Summarization Time,Mapping Time,Number of Events,Average Number of Application,Average Number of Offer,Largest Type Object Set,Cost,Lane Optionality,n
1,8,0.6531816000006074,0.21509970000079193,0.4380818999998155,55,1.0,1.0,1,0,0,8
1,9,0.6218608999988646,0.24182359999940672,0.3800372999994579,53,1.0,1.0,1,0,0,8
2,3,8.669676999999865,0.2780026000000362,8.391674399999829,56,1.0,1.5,2,5,1,8
2,4,6.223631799999566,0.25040959999932966,5.973222200000237,53,1.0,1.0,1,0,0,8
2,5,4.899760899999819,0.24654539999937697,4.653215500000442,54,1.0,1.0,1,0,0,8
2,6,33.36452029999964,0.22772170000098413,33.136798599998656,56,1.0,1.0,1,0,0,8
2,7,4.6118464000010135,0.27097150000008696,4.340874900000927,54,1.0,1.0,1,0,0,8
2,8,10.660084299999653,0.21206159999928786,10.448022700000365,57,1.0,1.0,1,0,0,8
2,9,5.305033300001014,0.238763100000142,5.066270200000872,55,1.0,1.0,1,0,0,8
3,4,3.5409506000014517,0.27779999999984284,3.263150600001609,49,1.0,1.5,2,5,1,8
3,5,3.050476999998864,0.27815539999937755,2.7723215999994864,50,1.0,1.5,2,5,1,8
3,6,5.237039200001163,0.26259620000018913,4.974443000000974,52,1.0,1.5,2,5,1,8
3,7,2.6013540999992983,0.3072279999996681,2.2941260999996302,50,1.0,1.5,2,5,1,8
3,8,5.07900520000112,0.2516198000012082,4.827385399999912,53,1.0,1.5,2,5,1,8
3,9,1.9306204000004072,0.2737589000007574,1.6568614999996498,51,1.0,1.5,2,5,1,8
4,5,0.8813400999988517,0.24780339999961143,0.6335366999992402,47,1.0,1.0,1,0,0,8
4,6,1.3206275000011374,0.2306272000005265,1.0900003000006109,49,1.0,1.0,1,0,0,8
4,7,0.5680365000007441,0.2737931000010576,0.2942433999996865,47,1.0,1.0,1,0,0,8
4,8,0.6398840000001655,0.21788259999993898,0.42200140000022657,50,1.0,1.0,1,0,0,8
4,9,0.5546427999997832,0.2455312000001868,0.30911159999959636,48,1.0,1.0,1,0,0,8
5,6,2.230644299997948,0.23233279999840306,1.998311499999545,50,1.0,1.0,1,0,0,8
5,7,0.8733495999986189,0.2718033999990439,0.601546199999575,48,1.0,1.0,1,0,0,8
5,8,1.3644287000006443,0.21509440000045288,1.1493343000001914,51,1.0,1.0,1,0,0,8
5,9,0.9100699000009627,0.24453139999968698,0.6655385000012757,49,1.0,1.0,1,0,0,8
6,7,1.3528488000010839,0.2626021000014589,1.090246699999625,50,1.0,1.0,1,0,0,8
6,8,2.2739770999996836,0.2002898999999161,2.0736871999997675,53,1.0,1.0,1,0,0,8
6,9,1.0951588000007177,0.2245457000008173,0.8706130999999004,51,1.0,1.0,1,0,0,8
7,8,0.667666499997722,0.24047289999907662,0.42719359999864537,51,1.0,1.0,1,0,0,8
7,9,0.5768691999983275,0.2670892999994976,0.30977989999882993,49,1.0,1.0,1,0,0,8
8,9,0.6691977999980736,0.20923839999886695,0.45995939999920665,52,1.0,1.0,1,0,0,8
